index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
123,2180-0804,,,55.0,450.0,,45.0,0,Тип 1,Резец,ГОСТ 10046-72,,,,25.0,,,20.0,,2.0,40.0,45.0,19.98310652189998,0.0,,31.0,Долбежный,,Двухсторонний
124,2180-0805,,,60.0,500.0,,45.0,0,Тип 1,Резец,ГОСТ 10046-72,,,,32.0,,,24.0,,3.0,50.0,45.0,21.80140948635181,0.0,,29.0,Долбежный,,Двухсторонний
125,2182-0601,4.0,,40.0,150.0,1  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,10.0,,,,,0.2,16.0,10.0,7.594643368591445,0.0,,4.0,Долбежный,,Прорезной
126,2182-0602,5.0,,40.0,150.0,1  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,10.0,,,,,0.2,16.0,10.0,7.594643368591445,0.0,,5.0,Долбежный,,Прорезной
127,2182-0603,6.0,,60.0,250.0,1  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,12.0,,,,,0.2,20.0,10.0,7.594643368591445,0.0,,6.0,Долбежный,,Прорезной
128,2182-0604,8.0,,60.0,250.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,12.0,,30.0,6.0,,0.2,20.0,10.0,5.710593137499643,0.0,,9.0,Долбежный,,Прорезной
129,2182-0605,10.0,,80.0,300.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,16.0,,35.0,7.0,,0.2,25.0,10.0,5.000644597558433,0.0,,11.0,Долбежный,,Прорезной
130,2182-0606,12.0,,80.0,300.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,16.0,,35.0,7.0,,0.2,25.0,10.0,5.000644597558433,0.0,,13.0,Долбежный,,Прорезной
131,2182-0607,14.0,,100.0,350.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,20.0,,40.0,8.0,,0.2,32.0,10.0,4.573921259900861,0.0,,15.0,Долбежный,,Прорезной
132,2182-0608,16.0,,100.0,350.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,20.0,,40.0,8.0,,0.2,32.0,10.0,4.573921259900861,0.0,,17.0,Долбежный,,Прорезной
133,2182-0609,18.0,,120.0,400.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,25.0,,50.0,11.0,,0.2,40.0,10.0,5.237476066812513,0.0,,19.0,Долбежный,,Прорезной
134,2182-0610,20.0,,150.0,500.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,32.0,,50.0,11.0,,0.2,50.0,10.0,4.194182788390857,0.0,,21.0,Долбежный,,Прорезной
135,2182-0611,24.0,,180.0,500.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,32.0,,50.0,11.0,,0.2,50.0,10.0,3.497059739298249,0.0,,25.0,Долбежный,,Прорезной
136,2182-0612,28.0,,250.0,600.0,2  ,90.0,0,Тип 2,Резец,ГОСТ 10046-72,,,,40.0,,60.0,13.0,,0.2,63.0,10.0,2.976699468111743,0.0,,29.0,Долбежный,,Прорезной
137,2184-0551,3.0,6.0,,90.0,1,90.0,0,Тип 3,Резец,ГОСТ 10046-72,7.0,,,,5.5,40.0,,,0.2,,10.0,10.0,0.0,,3.0,Долбежный,4.5,Для шпоночных пазов
138,2184-0552,4.0,8.0,,100.0,1,90.0,0,Тип 3,Резец,ГОСТ 10046-72,10.0,,,,7.6,50.0,,,0.2,,10.0,10.0,0.0,,4.0,Долбежный,6.5,Для шпоночных пазов
